tag,Question,Answer
user 50,Di mana saya dapat menemukan bahan swadaya untuk depresi?,"Sumber daya swadaya bukan pengganti diagnosis atau perawatan. Jika Anda memiliki kekhawatiran tentang suasana hati yang rendah, yang terbaik adalah berbicara dengan dokter Anda terlebih dahulu dan mengesampingkan penyebab fisik untuk gejala Anda. Namun, begitu Anda memeriksa dengan dokter Anda, materi swadaya dapat menjadi cara yang bagus untuk mempelajari lebih lanjut tentang depresi dan mempraktikkan keterampilan yang berbeda dengan kecepatan Anda sendiri atau di sela-sela sesi perawatan. Berikut adalah beberapa sumber daya untuk check out.
Buku kerja keterampilan antidepresan diciptakan oleh dua psikolog SM. Anda akan belajar lebih banyak tentang depresi, belajar dan mempraktikkan keterampilan yang berbeda untuk membantu meningkatkan suasana hati Anda, dan belajar seberapa sehat perubahan di bagian lain kehidupan Anda dapat memengaruhi suasana hati Anda. Mereka juga memiliki buku kerja serupa untuk grup tertentu:
Berurusan dengan Depresi: Keterampilan Antidepresan untuk Remaja
Buku kerja untuk orang yang mengalami masalah dengan depresi di tempat kerja yang disebut keterampilan antidepresan di tempat kerja: menangani masalah suasana hati di tempat kerja
Buku kerja untuk mengharapkan atau ibu baru yang disebut mengelola depresi: sumber daya keterampilan swadaya untuk wanita yang hidup dengan depresi selama kehamilan, setelah melampaui dan seterusnya
Buku kerja untuk orang yang mengalami masalah kesehatan yang disebut coping positif dengan kondisi kesehatan: buku kerja perawatan diri
Di situs Heretohelp, Seri Depresi Pengelola kami menawarkan tiga lembar info: berurusan dengan diagnosis depresi, bekerja dengan dokter Anda untuk depresi, dan mencegah kekambuhan depresi. Serial ini membantu Anda menjadi mitra aktif dalam perawatan kesehatan Anda, membangun keterampilan koping yang sehat dan strategi manajemen diri, dan banyak lagi.
Seringkali depresi dapat memengaruhi konsentrasi dan motivasi Anda untuk bekerja melalui materi swadaya sendiri. Jika Anda menyukai materi swadaya dengan sedikit dukungan ekstra dari seseorang, bangkit kembali: Rebut kembali kesehatan Anda adalah program swadaya berpemandu untuk British Columbian yang mengalami depresi ringan hingga sedang, suasana hati, stres, atau kecemasan yang rendah. Anda bisa mendapatkan DVD tips untuk membantu Anda mengenali dan mengelola gejala depresi, atau Anda dapat mempelajari lebih banyak keterampilan mendalam dalam serangkaian buku kerja yang Anda selesaikan di rumah. Anda juga bekerja dengan pelatih terlatih dari Asosiasi Kesehatan Mental Kanada yang akan menawarkan dukungan dan saran melalui konferensi telepon atau video. Bounce Back gratis dengan rujukan dokter. Untuk informasi lebih lanjut, kunjungi www.bouncingbackbc.ca (jika Anda ingin mengakses materi bouncing kembali tanpa pelatih atau rujukan, Anda dapat melakukannya secara online di BC di www.bouncebackonline.ca).
Asosiasi Gangguan Suasana hati BC memiliki sejumlah video tentang kesehatan mental, mencari bantuan, dan topik lainnya
Pusat Sumber Daya Kesehatan Mental Kelty juga memelihara daftar situs web, toolkit, buku, dan sumber daya lainnya yang komprehensif untuk kaum muda dan keluarga
Kepala -jepit menawarkan tips dan strategi untuk strategi hidup sehat untuk pria yang mengalami depresi
Program kesehatan mental reproduksi BC dari layanan kesehatan mental BC dan penggunaan narkoba memiliki panduan manajemen diri untuk wanita yang mengalami depresi pascapersalinan yang disebut mengatasi depresi pada kehamilan dan setelah kelahiran. Mereka juga memiliki panduan untuk wanita Aborigin dan keluarga mereka yang disebut merayakan lingkaran kehidupan: kembali ke keseimbangan dan harmoni
Sumber daya berikut didasarkan di luar BC, tetapi mereka menawarkan banyak informasi yang baik.
Program Pelatihan MoodGyM adalah kursus swadaya berbasis web untuk orang yang mengalami depresi. Ini berbasis di Australia tetapi tersedia secara gratis untuk siapa saja
MoodJuice adalah inisiatif Inggris yang menawarkan buku kerja swadaya, termasuk satu untuk depresi
Ada banyak buku dan buku kerja yang tersedia untuk membantu orang yang mengalami depresi. Bicaralah dengan tim perawatan kesehatan mental Anda untuk rekomendasi. Anda dapat menemukan banyak dari toko buku lokal atau toko buku khusus yang berspesialisasi dalam kesehatan mental seperti buku -buku Odin di Vancouver (Anda juga dapat memesan secara online). Di British Columbia, Anda juga dapat meminjam buku secara gratis dari dukungan keluarga dan pusat sumber daya di rumah sakit anak -anak dan wanita. Mereka memiliki banyak swadaya dan materi referensi tentang depresi untuk wanita dan pasangan mereka, untuk orang tua, dan untuk anak-anak dan remaja."
user 51,Di mana saya dapat menemukan bahan swadaya untuk kecemasan?,"Sumber daya swadaya bukan pengganti diagnosis atau perawatan. Jika Anda memiliki kekhawatiran tentang suasana hati yang rendah, yang terbaik adalah berbicara dengan dokter Anda terlebih dahulu dan mengesampingkan penyebab fisik untuk gejala Anda. Namun, begitu Anda memeriksa dengan dokter Anda, materi swadaya bisa menjadi cara yang bagus untuk mempelajari lebih lanjut tentang kecemasan dan mempraktikkan keterampilan yang berbeda dengan kecepatan Anda sendiri atau di sela-sela sesi perawatan. Berikut adalah beberapa sumber daya untuk check out:
Anxiety Canada memiliki sumber daya swadaya, toolkit, lembar kerja, dan video tentang gangguan kecemasan dan kecemasan untuk anak-anak dan orang tua mereka, remaja, orang dewasa, mengharapkan dan ibu baru di www.anxietycanada.com. Aplikasi Mindshift mereka mengajarkan keterampilan untuk membantu pengguna mengelola kecemasan, bersantai, dan hidup dengan baik. Meskipun dirancang untuk remaja dan dewasa muda, orang dewasa lain juga dapat memperoleh manfaat darinya.
Pusat Sumber Daya Kesehatan Mental Kelty memiliki daftar situs web, toolkit, buku, dan sumber daya lainnya yang direkomendasikan untuk anak -anak dan untuk remaja.
Program kesehatan mental reproduksi BC dari layanan kesehatan mental dan penggunaan narkoba memiliki panduan manajemen diri untuk wanita yang mengalami kecemasan selama dan setelah lahir yang disebut mengatasi kecemasan selama kehamilan dan setelah kelahiran.
MoodJuice adalah program Inggris yang menawarkan swadaya dan informasi tentang sejumlah masalah kesehatan mental, termasuk panduan swadaya kecemasan mereka. Jika Anda ingin bantuan untuk gangguan kecemasan tertentu, kunjungi www.moodjuice.scot.nhs.uk untuk mencari panduan lain.
Ada banyak buku dan buku kerja yang tersedia untuk membantu orang yang mengalami masalah kecemasan. Bicaralah dengan kesehatan mental Anda. Bicaralah dengan tim perawatan kesehatan mental Anda untuk rekomendasi. Ada toko buku yang berspesialisasi dalam kesehatan mental dan bahan kesejahteraan, seperti buku Odin di Vancouver. Di British Columbia, Anda juga dapat meminjam buku secara gratis dari dukungan keluarga dan pusat sumber daya di rumah sakit anak -anak dan wanita. Mereka memiliki banyak swadaya dan materi referensi tentang depresi untuk wanita dan pasangan mereka, untuk orang tua, dan untuk anak-anak dan remaja.
Jika Anda menyukai materi swadaya dengan sedikit dukungan ekstra dari seseorang, bangkit kembali: Reklamasi kesehatan Anda adalah program swadaya berpemandu untuk British Columbian yang mengalami suasana hati atau kecemasan yang ringan hingga sedang. Anda bisa mendapatkan DVD tips untuk membantu Anda mengenali dan mengelola gejala kecemasan, atau Anda dapat mempelajari lebih banyak keterampilan mendalam dalam serangkaian buku kerja yang Anda selesaikan di rumah. Anda bekerja dengan pelatih terlatih dari Asosiasi Kesehatan Mental Kanada yang akan menawarkan dukungan dan saran melalui konferensi telepon atau video. Bounce Back gratis dengan rujukan dokter. Untuk informasi lebih lanjut, kunjungi www.bouncingbackbc.ca. Jika Anda ingin mengakses materi punggung bouncing tanpa pelatih atau rujukan, Anda dapat melakukannya secara online di BC di www.bouncebackonline.ca."
user 52,Saya mengalami kesulitan mengatasi masalah kesehatan fisik. Di mana saya dapat menemukan bantuan?,"Kesehatan fisik dapat memiliki dampak besar pada kesehatan mental! Berikut adalah beberapa sumber daya untuk membantu Anda mengatasi tantangan emosional hidup dengan masalah kesehatan kronis:
Manajemen diri BC menawarkan program gratis untuk orang dewasa dari segala usia yang mengalami masalah kesehatan fisik atau mental yang sedang berlangsung. Temukan informasi dan strategi untuk membantu mengelola gejala dan mengambil tindakan menuju kehidupan terbaik. Anggota keluarga, teman, dan orang yang dicintai dipersilakan untuk hadir. Program tersedia dalam bahasa selain bahasa Inggris, termasuk Cina dan Punjabi. Di situs web mereka, Anda mempelajari lebih lanjut tentang penelitian manajemen diri dan menemukan lokakarya atau program dukungan berbasis telepon. Kunjungi www.selfmanagementbc.ca atau hubungi bebas pulsa 1-866-902-3767.
Sekelompok psikolog dan dokter BC telah menciptakan buku kerja yang dipandu sendiri yang disebut positif mengatasi kondisi kesehatan bagi siapa saja yang berurusan dengan masalah kesehatan dan siapa pun yang mendukung orang yang dicintai yang mengalami masalah kesehatan. Buku kerja ini membahas hubungan antara kesehatan fisik dan kesehatan mental, dan mengajarkan Anda keterampilan yang berbeda untuk membantu Anda mengelola masalah dan perasaan yang sulit dengan baik, aktif, dan bekerja pada hubungan yang sehat.
Bounce Back: Rebut kembali kesehatan Anda adalah program swadaya berpemandu untuk British Columbian yang mengalami depresi ringan hingga sedang, suasana hati atau kecemasan yang rendah. Anda bisa mendapatkan DVD tips untuk membantu Anda mengenali dan mengelola gejala depresi, atau Anda dapat mempelajari lebih banyak keterampilan mendalam dalam serangkaian buku kerja yang Anda selesaikan di rumah. Salah satu buku kerja, merebut kembali kesehatan Anda, berfokus pada hidup dengan kondisi kesehatan kronis. Anda bekerja dengan pelatih terlatih dari Asosiasi Kesehatan Mental Kanada yang akan menawarkan dukungan dan saran melalui konferensi telepon atau video. Bounce Back gratis dengan rujukan dokter. Untuk informasi lebih lanjut, kunjungi www.bouncingbackbc.ca. Jika Anda ingin mengakses materi punggung bouncing tanpa pelatih atau rujukan, Anda dapat melakukannya secara online di BC di www.bouncebackonline.ca.
Rebut kembali hidup Anda: Dari penyakit, kecacatan, rasa sakit, atau kelelahan adalah buklet dari Asosiasi Kesehatan Mental Kanada yang menawarkan tips dan strategi praktis untuk membantu Anda mengatasi masalah dan kembali ke rutinitas yang biasa Anda lakukan. Buklet ini tersedia untuk dibeli di www.livinglifetothefull.ca. Ini adalah bagian dari program yang disebut Living Living to the Full, sebuah program delapan minggu yang membantu orang membuat perubahan bermanfaat dalam kehidupan mereka. Ini ditawarkan di seluruh provinsi, dan Anda dapat menemukan daftar kursus di situs web juga.
Banyak organisasi mendukung orang yang mengalami masalah penyakit atau kesehatan tertentu. Organisasi -organisasi ini seringkali dapat membantu orang menemukan layanan dukungan yang tepat atau bahkan mungkin menawarkan kelompok dukungan mereka sendiri. Anda juga dapat meminta rekomendasi tim perawatan kesehatan Anda. Jika Anda tidak dapat menemukan dukungan secara langsung, Anda dapat melihat apakah ada grup dukungan secara online.
Jika Anda mengalami kesulitan mengatasi dan merasa bahwa Anda memerlukan dukungan satu-satu, seorang terapis atau penasihat dapat menjadi pilihan yang bagus. Anda dapat menemukan informasi lebih lanjut tentang menemukan para profesional ini di www.heretohelp.bc.ca/ask-us/how-can-i-find-a-doctor-psychiatrist-psychologist-or-counsellor."
user 53,Kapan Substansi Penggunaan Masalah? Di mana saya bisa mendapatkan bantuan?,"Setiap orang memiliki hubungan yang berbeda dengan zat seperti alkohol dan obat -obatan lain, dan orang menggunakan zat karena alasan yang berbeda. Apa yang bermanfaat bagi sebagian orang dapat menyebabkan masalah bagi orang lain, atau untuk orang yang sama dalam situasi yang berbeda.
Untuk mempelajari lebih lanjut tentang penggunaan narkoba, periksa memahami penggunaan narkoba: perspektif promosi kesehatan. Untuk lebih lanjut tentang mendukung orang lain, sumber yang berguna adalah membantu orang yang menggunakan zat: perspektif promosi kesehatan.
Untuk membantu Anda memikirkan hubungan Anda dengan substansi, Anda dan penggunaan narkoba: hal -hal yang harus dipikirkan ... dan cara -cara untuk membuat perubahan adalah buku kerja yang hebat. Seri lain, membuat pilihan yang lebih sehat tentang penggunaan narkoba: tips untuk mengurangi atau berhenti, memiliki banyak tips dan sumber daya yang berguna jika Anda ingin mengubah cara Anda menggunakan alkohol, ganja, obat -obatan, metamfetamin, dan tembakau.
Jika Anda atau seseorang yang Anda sayangi membutuhkan lebih banyak bantuan, hubungi layanan rujukan informasi alkohol dan narkoba untuk menemukan dukungan di daerah Anda. Untuk mendapatkan bantuan di mana saja di SM, hubungi 1-800-663-1441. Di Greater Vancouver, hubungi 604-660-9382.
Untuk mempelajari lebih lanjut tentang penggunaan narkoba, kunjungi Pusat Penelitian Kecanduan BC."
user 54,Di mana saya dapat menemukan konseling gratis atau berbiaya rendah?,"Layanan kesehatan mental seperti konseling atau terapi dapat ditanggung oleh BC Medical Services Plan (MSP) Anda ketika Anda mengakses layanan melalui rumah sakit atau klinik kesehatan mental. Temukan otoritas kesehatan setempat untuk mempelajari lebih lanjut tentang layanan konseling di daerah Anda. Alat Layanan Temukan HealthLink BC dan aplikasi Locator juga dapat membantu Anda menemukan layanan. Anda sering membutuhkan rujukan dokter untuk mengakses program jenis ini.
Tanpa rujukan dokter, Anda perlu mengakses perawatan melalui sistem pribadi, yang tidak didanai oleh pemerintah. Layanan kesehatan mental pribadi bisa mahal. Ini bisa menjadi penghalang nyata untuk menemukan perawatan yang baik. Meskipun tidak ada jawaban sederhana, ada beberapa tempat berbeda yang dapat Anda lihat:
Jika Anda memiliki manfaat kesehatan di tempat kerja, tanyakan tentang pertanggungan Anda. Beberapa rencana akan mencakup sejumlah sesi konseling pribadi atau terapi. Selain itu, rencana bantuan karyawan/keluarga tempat kerja dapat menawarkan beberapa layanan atau dapat merujuk Anda ke layanan masyarakat.
Beberapa psikolog, konselor klinis, atau penyedia layanan lainnya dapat menawarkan skala geser, yang berarti bahwa biaya mereka didasarkan pada pendapatan Anda. Coba hubungi penyedia layanan secara langsung untuk menanyakan apakah mereka menawarkan skala geser. Satu klinik swasta di Vancouver memiliki daftar pilihan konseling berbiaya lebih rendah di daerah Vancouver. Bagi mereka yang berada di luar daratan yang lebih rendah, Anda masih dapat melihat daftar ini dan melihat apakah ada organisasi serupa di komunitas Anda.
Hubungi organisasi kesehatan mental seperti Anxiety Canada, Asosiasi Kesehatan Mental Kanada, BC Schizophrenia Society, Institut Keluarga untuk Kesehatan Mental Anak dan Remaja, Asosiasi Gangguan Suasana hati BC, atau warisan Jessie. Mereka mungkin menawarkan layanan di daerah Anda, atau mereka mungkin memiliki koneksi lokal yang dapat mereka rujuk.
Anda juga dapat mengirim email kepada kami dan kami akan mencoba dan memberi Anda beberapa rekomendasi untuk komunitas Anda."
user 55,Bisakah saya mendapatkan bantuan untuk membayar obat resep?,"BC Pharmacare mencakup biaya beberapa obat melalui Rencana G, Rencana Obat Psikiatri, untuk orang -orang yang membutuhkan obat untuk menjadi baik tetapi tidak mampu membelinya. Dokter atau praktisi perawat Anda harus mengajukan perlindungan atas nama Anda. Cakupan biasanya berlangsung selama satu tahun, dan kemudian Anda dapat mengajukan permohonan kembali jika diperlukan. Bicaralah dengan tim perawatan Anda jika Anda tertarik dengan rencana G."
user 56,Bagaimana cara membayar perawatan kesehatan mental?,"Layanan kesehatan mental yang disediakan melalui sistem yang dikelola pemerintah ('publik'), seperti layanan yang Anda terima melalui pusat atau tim kesehatan mental lokal Anda, psikiatri rawat jalan di rumah sakit paling sering ditutupi oleh MSP. Selama Anda memenuhi syarat untuk MSP, Anda tidak perlu membayar untuk melihat seseorang.
Untuk layanan kesehatan mental yang tidak dicakup oleh MSP, seperti psikoterapi atau konseling dengan praktisi swasta, Anda harus menutupi biaya sendiri. Bukan rahasia lagi bahwa layanan ini bisa mahal, tetapi Anda mungkin dapat mengimbangi biaya melalui:
Cakupan kesehatan yang diperpanjang dari manfaat tempat kerja anggota keluarga Anda sendiri atau anggota keluarga
Program Bantuan (Keluarga) Karyawan dari Anda sendiri atau tunjangan tempat kerja anggota keluarga dekat
Untuk Layanan Kesehatan Mental Siswa, Sekolah atau Kampus
Untuk anggota masyarakat adat, layanan yang ditawarkan melalui band Anda, Pusat Persahabatan, Organisasi Dukungan Pribumi, atau Otoritas Kesehatan Bangsa Pertama
Komunitas budaya atau agama dapat menawarkan beberapa layanan kesehatan mental
Anda mungkin dapat mengklaim beberapa biaya yang lebih besar terkait dengan perawatan kondisi kesehatan mental pada pengembalian pajak penghasilan Anda di bawah biaya kesehatan
Beberapa penyedia menawarkan layanan berbiaya lebih rendah atau skala geser, biasanya berdasarkan penghasilan Anda. Email kami dengan lokasi Anda dan tim informasi dan rujukan kami dapat membantu Anda mencari opsi di daerah Anda.
Jika biaya adalah penghalang untuk perawatan kesehatan, bicarakan dengan dokter Anda untuk melihat apakah ada layanan dalam sistem kesehatan masyarakat (ditutupi oleh MSP) yang mungkin cocok untuk Anda. Anda juga dapat memanggil jalur dukungan kesehatan mental di 310-6789 (tidak ada kode area) untuk informasi lebih lanjut tentang layanan kesehatan mental lokal."
user 57,Bagaimana cara saya mengajukan bantuan pendapatan?,"Bantuan pendapatan provinsi memiliki tiga tingkat pendapatan: bantuan dasar (juga disebut kesejahteraan), tunjangan penyandang disabilitas (PWD), dan orang -orang dengan hambatan gigih dan ganda untuk tunjangan kerja (PPMB). Semua dikelola oleh Kementerian Pembangunan Sosial dan Inklusi Sosial. Bergantung pada situasinya, penyakit mental dapat dipertimbangkan di bawah PWD atau PPMB. Kecanduan mungkin tidak dimasukkan dalam aplikasi PPMB.
Manfaat PWD adalah untuk orang -orang yang memiliki kecacatan yang mencegah mereka bekerja atau melakukan kegiatan sehari -hari mereka. Temukan informasi dari kementerian dan baca lembar fakta dari Aliansi Disabilitas BC dengan informasi tentang proses aplikasi.
Manfaat PPMB adalah untuk orang yang mengalami banyak hambatan untuk bekerja. Temukan informasi dari kementerian dan baca lembar fakta dari Aliansi Disabilitas BC dengan informasi tentang proses aplikasi.
Aliansi Disabilitas BC (sebelumnya Koalisi BC Penyandang Cacat) dan membantu Anda menavigasi program PWD dan PPMB serta manfaat rencana pensiun Kanada. Mereka memiliki informasi mendalam tentang mempersiapkan aplikasi Anda, bekerja melalui proses aplikasi, dan menangani banding. PovNet juga dapat menghubungkan Anda dengan advokat untuk membantu Anda melalui proses aplikasi.
Untuk informasi lebih lanjut tentang manfaat PWD provinsi dan kiat advokasi, lihat Mendapatkan Bantuan Sosial: Menavigasi Sistem 'Kesejahteraan' atau membaca artikel lain dalam Jurnal Penghasilan Penghasilan kami."
user 58,Apa itu MSP?,"MSP adalah singkatan dari Rencana Layanan Medis. Ini adalah program asuransi kesehatan yang dikelola oleh pemerintah untuk orang -orang yang tinggal di British Columbia, Kanada. MSP membayar untuk hal -hal seperti janji dengan dokter, janji temu dengan dokter spesialis seperti psikiater, dan masa tinggal di rumah sakit, Anda perlu mengobati masalah medis.
Setiap orang yang tinggal di BC harus mendaftar di MSP. Anda membayar biaya bulanan berdasarkan penghasilan Anda. Beberapa tempat kerja menutupi biaya biaya MSP untuk Anda.
Pelajari lebih lanjut tentang MSP di sini. Jika Anda memiliki pertanyaan tentang melamar atau mengelola pertanggungan MSP Anda, hubungi Asuransi Kesehatan BC di 604 683-7151 di Daratan Bawah atau 1-800-663-7100 di seluruh SM. Mereka buka Senin - Jumat dari jam 8.00 pagi - 16:30. Anda juga bisa mendapatkan bantuan secara langsung di kantor Layanan BC lokal Anda.
Jika Anda baru mengenal BC, Anda harus menunggu tiga bulan sebelum mendaftar untuk MSP.
Bawa kartu perawatan atau kartu layanan BC Anda saat Anda pergi ke janji medis atau menggunakan apotek."
user 59,Apa itu rujukan?,"Rujukan berarti seseorang merekomendasikan Anda ke layanan lain. Dalam perawatan kesehatan, biasanya berarti permintaan dari dokter Anda untuk menemui spesialis seperti psikiater.
Untuk mengakses spesialis apa pun di BC, pertama -tama Anda membutuhkan rujukan. Anda mungkin perlu memenuhi kriteria tertentu, seperti diagnosis tertentu atau gejala spesifik, untuk mengakses beberapa spesialis. Dokter Anda dapat memberi tahu Anda apa yang diharapkan.
Setelah dokter Anda membuat rujukan, kantor spesialis akan menghubungi Anda dengan waktu janji temu. Pastikan kantor dokter Anda memiliki informasi kontak Anda saat ini sehingga spesialis dapat menghubungi Anda.
Prosesnya sama apakah Anda melihat dokter keluarga yang sama atau mengunjungi klinik walk-in.
Tidak semua program kesehatan mental di BC memerlukan rujukan dokter. Ini adalah kabar baik bagi orang -orang yang mencari bantuan! Sebuah ""rujukan diri"" berarti Anda meminta untuk melihat seseorang, dan kemudian Anda akan dievaluasi untuk melihat apakah Anda memenuhi kriteria untuk menerima layanan. Hubungi Otoritas Kesehatan setempat untuk mempelajari lebih lanjut tentang program di daerah Anda:"
user 60,Apa perbedaan antara psikiater dan psikolog terdaftar?,"Seorang psikiater adalah dokter medis dengan pelatihan ekstra dalam kesehatan mental yang dapat memilih untuk meresepkan obat. Beberapa menggunakan pendekatan psikoterapi ('terapi bicara') seperti terapi perilaku kognitif untuk mengobati masalah kesehatan mental. Banyak psikiater bekerja di rumah sakit, klinik, atau pusat kesehatan, dan beberapa memiliki kantor swasta. Karena mereka adalah dokter spesialis, Anda hampir selalu membutuhkan rujukan dokter lain untuk menemui psikiater, dan biaya ditanggung oleh MSP. Jika Anda memiliki Layanan BC atau CareCard yang valid, Anda tidak perlu membayar untuk menemui seorang psikiater.
Seorang psikolog terdaftar berfokus pada berbagai terapi bicara atau pendekatan konseling untuk perawatan, tetapi mereka tidak meresepkan obat. Mereka memiliki gelar sarjana dalam bidang psikologi. Ada dua cara berbeda untuk mengakses psikolog terdaftar: sistem publik dan sistem pribadi. Psikolog terdaftar dalam sistem publik bekerja di beberapa rumah sakit atau sekolah. Anda mungkin memerlukan rujukan dokter untuk mengakses program, dan biaya biasanya ditanggung oleh MSP. Namun, kebanyakan orang perlu mengakses psikolog terdaftar melalui sistem pribadi. Untuk melakukan ini, Anda dapat menghubungi psikolog sendiri - Anda tidak perlu rujukan. Biaya tidak ditanggung oleh MSP, tetapi mereka mungkin ditanggung oleh rencana kesehatan karyawan. Biaya psikolog terdaftar yang dibebankan berdasarkan jam bervariasi, dan beberapa menawarkan biaya yang lebih rendah kepada orang -orang dengan pendapatan yang lebih rendah.
Anda mungkin memperhatikan bahwa banyak perbedaan yang terjadi pada bagaimana Anda membayar untuk layanan yang berbeda dan bagaimana para profesional ini dididik. Perbedaan praktis dalam cara kerja mereka tidak selalu begitu jelas. Ketika datang ke perawatan dan perawatan Anda, bagian terpenting adalah menemukan seorang profesional yang mendukung tujuan Anda sendiri. Apakah Anda benar-benar fokus pada obat penyempurnaan? Apakah Anda mencari pendekatan terapi tertentu? Apakah filosofi perawatan profesional masuk akal bagi Anda? Apakah Anda menyukai profesional yang Anda ajak bicara dan apakah Anda merasa aman berbagi pengalaman? Pada akhirnya, hubungan Anda dengan profesional adalah yang penting. Alih -alih berfokus pada penunjukan, cari seorang profesional yang memenuhi kebutuhan dan harapan Anda.
Bicaralah dengan dokter keluarga Anda dan minta rekomendasi mereka
Minta bantuan organisasi kesehatan mental setempat. Anda dapat menemukan cabang lokal melalui organisasi provinsi di belakang Heretohelp
Tanyakan Pusat Kesehatan Masyarakat, Program Psikiatri Rawat Jalan, atau Tim Kesehatan Mental untuk Saran
Untuk daftar psikiater di dekat Anda, cari di bawah 'Spesialis' di College of Physicians and Surgeons of British Columbia Find a Physician Tool tetapi ingat bahwa Anda akan membutuhkan rujukan dari dokter (seperti dokter keluarga Anda)
Untuk daftar psikolog di dekat Anda, cari di British Columbia Psychological Association's Find A Psychologist yang terdaftar dan Anda juga dapat belajar lebih banyak tentang menemukan seorang psikolog dari College of Psychologists of British Columbia"
user 61,Apa perbedaan antara psikoterapi dan konseling?,"Psikoterapi dan konseling memiliki banyak kesamaan dan biasanya berarti hal yang sama. Keduanya digunakan untuk menggambarkan profesional yang menggunakan pendekatan berbasis bicara untuk membantu seseorang pulih dari penyakit mental atau masalah kesehatan mental. Banyak profesional yang berbeda dapat memberikan konseling atau psikoterapi, termasuk psikolog terdaftar, konselor klinis terdaftar, psikiater, terapis dan konselor lain, dokter keluarga, perawat psikiatri, dan pemimpin agama.
Sangat berguna untuk berbicara dengan seseorang tentang masalah apa pun - banyak orang yang menemukan bahwa hanya berbicara dengan teman atau keluarga dapat membantu mereka merasa lebih baik. Seorang terapis atau konselor profesional dapat menawarkan lebih banyak: mereka memiliki pelatihan, pengalaman, dan jarak emosional (karena mereka tidak mengenal Anda). Mereka menggunakan teori yang berbeda untuk mendengarkan Anda, mendukung Anda, dan mendekati masalah atau pola yang berbeda. Sebagai contoh, psikoterapi yang disebut terapi perilaku-kognitif didasarkan pada teori bahwa keterampilan belajar untuk mengubah pemikiran dan tindakan Anda dapat secara positif memengaruhi emosi, kesejahteraan, dan pikiran serta perilaku Anda di masa depan. Seorang terapis dapat membantu Anda belajar dan melatih keterampilan ini.
Ada banyak psikoterapi dengan bukti yang baik untuk menjadi efektif untuk masalah atau penyakit yang berbeda. Beberapa contoh termasuk terapi perilaku kognitif, terapi interpersonal, terapi perilaku dialektik, psikoterapi singkat yang berfokus pada solusi, terapi naratif, dan terapi yang berfokus pada emosi.
Secara umum, beberapa aspek terapi dan konseling adalah sama, tidak peduli pendekatan apa pun yang Anda pilih: harapan yang Anda bawa ke sesi konseling Anda, kecocokan antara pemahaman Anda tentang masalah dan pemahaman terapis Anda tentang masalah tersebut, dan kepercayaan serta hubungan yang Anda miliki dengan terapis Anda. Faktanya, satu tinjauan penelitian menemukan bahwa 50% dari peningkatan yang terlihat pada klien yang baru saja menerima mendengarkan dan dukungan aktif dari seorang penasihat (disebut terapi suportif non-direktif) hanya karena hubungan antara klien dan terapis.1 Psikoterapi dapat dan tidak dapat dan tidak Bekerja, tetapi profesional yang Anda pilih, dan kecocokan mereka dengan nilai -nilai Anda, juga sangat penting.
Saat Anda mencari seorang profesional, selalu merupakan ide yang baik untuk bertanya apakah mereka adalah anggota organisasi profesional (seperti yang tercantum di bagian selanjutnya)."
